timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,5.00,45.00,20.00,10.00,0.00,5.00,45.00,20.00,10.00,0.00,0.00,0.00,0.00
1.00,2.00,45.00,24.00,10.00,0.00,2.00,4.00,4.00,0.00,1.00,0.00,0.00,0.00
2.00,2.00,47.00,26.00,10.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00
3.00,3.00,41.00,35.00,9.00,0.00,3.00,2.00,9.00,0.00,0.00,0.00,0.00,0.00
4.00,4.00,36.00,35.00,10.00,1.00,4.00,2.00,4.00,3.00,1.00,6.00,1.00,1.00
5.00,4.00,38.00,37.00,8.00,2.00,4.00,3.00,3.00,0.00,1.00,0.00,0.00,0.00
6.00,5.00,25.00,40.00,9.00,1.00,5.00,3.00,8.00,3.00,1.00,13.00,1.00,0.00
7.00,5.00,27.00,42.00,10.00,1.00,5.00,4.00,5.00,2.00,1.00,1.00,1.00,0.00
8.00,6.00,22.00,42.00,11.00,1.00,6.00,4.00,5.00,3.00,1.00,7.00,2.00,1.00
9.00,5.00,25.00,43.00,12.00,0.00,5.00,5.00,5.00,2.00,1.00,1.00,2.00,0.00
10.00,5.00,20.00,42.00,14.00,1.00,5.00,4.00,5.00,4.00,1.00,7.00,1.50,1.00
11.00,5.00,20.00,42.00,15.00,1.00,5.00,4.00,4.00,2.00,1.00,2.00,2.00,0.00
12.00,4.00,21.00,41.00,16.00,1.00,4.00,4.00,4.00,4.00,1.00,2.00,1.00,1.00
13.00,4.00,21.00,40.00,17.00,1.00,4.00,3.00,4.00,3.00,1.00,2.00,1.00,1.00
14.00,3.00,20.00,38.00,18.00,2.00,3.00,3.00,3.00,4.00,1.00,2.00,1.00,1.00
15.00,3.00,18.00,37.00,19.00,2.00,3.00,2.00,3.00,3.00,1.00,3.00,1.00,1.00
16.00,2.00,17.00,34.00,20.00,2.00,2.00,2.00,3.00,4.00,1.00,2.00,1.00,1.00
17.00,2.00,15.00,32.00,20.00,2.00,2.00,2.00,3.00,3.00,0.00,2.00,1.00,1.00
18.00,2.00,14.00,29.00,20.00,2.00,2.00,2.00,2.00,3.00,0.00,2.00,1.00,1.00
19.00,1.00,12.00,26.00,20.00,2.00,1.00,2.00,2.00,3.00,0.00,2.00,1.00,1.00
20.00,1.00,10.00,24.00,19.00,2.00,1.00,1.00,1.00,3.00,0.00,2.00,1.00,1.00
21.00,0.00,9.00,21.00,18.00,2.00,0.00,1.00,0.00,2.00,0.00,2.00,1.00,1.00
22.00,0.00,6.00,18.00,17.00,2.00,0.00,0.00,0.00,3.00,0.00,2.00,1.00,1.00
23.00,0.00,5.00,15.00,16.00,2.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00
24.00,0.00,3.00,12.00,15.00,2.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00
25.00,0.00,2.00,10.00,14.00,2.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00
26.00,0.00,1.00,8.00,13.00,2.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00
27.00,0.00,1.00,6.00,11.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00
28.00,0.00,0.00,5.00,10.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
29.00,0.00,0.00,3.00,9.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
30.00,0.00,0.00,2.00,8.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
31.00,0.00,0.00,2.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.00,0.00,0.00,1.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.00,0.00,0.00,1.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
