timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,5.00,45.00,20.00,10.00,0.00,5.00,45.00,20.00,10.00,0.00,0.00,0.00,0.00
1.00,2.00,41.00,21.00,8.00,0.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00
2.00,3.00,42.00,23.00,8.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
3.00,4.00,35.00,30.00,7.00,0.00,4.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00
4.00,4.00,31.00,29.00,5.00,0.00,4.00,1.00,3.00,0.00,0.00,2.00,0.00,0.00
5.00,5.00,32.00,32.00,4.00,0.00,5.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00
6.00,6.00,19.00,36.00,5.00,0.00,6.00,2.00,6.00,0.00,0.00,7.00,0.00,0.00
7.00,7.00,21.00,38.00,5.00,0.00,7.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00
8.00,8.00,19.00,40.00,6.00,0.00,8.00,3.00,6.00,0.00,0.00,3.00,0.00,0.00
9.00,8.00,22.00,43.00,7.00,0.00,8.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00
10.00,8.00,20.00,44.00,8.00,0.00,8.00,3.00,6.00,1.00,0.00,3.00,0.00,0.00
11.00,8.00,22.00,46.00,9.00,0.00,8.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00
12.00,8.00,24.00,48.00,10.00,0.00,8.00,3.00,6.00,1.00,0.00,0.00,0.00,0.00
13.00,8.00,25.00,50.00,11.00,0.00,8.00,4.00,6.00,1.00,0.00,0.00,0.00,0.00
14.00,8.00,26.00,50.00,13.00,0.00,8.00,3.00,6.00,1.00,0.00,0.00,0.00,0.00
15.00,8.00,26.00,52.00,14.00,0.00,8.00,3.00,6.00,1.00,0.00,0.00,0.00,0.00
16.00,8.00,27.00,52.00,15.00,0.00,8.00,3.00,6.00,2.00,0.00,1.00,0.00,0.00
17.00,8.00,26.98,53.00,17.00,0.00,8.00,4.00,6.00,1.00,0.00,1.00,0.00,0.00
18.00,8.00,27.00,53.00,18.00,0.00,8.00,3.00,6.00,1.00,0.00,1.00,0.00,0.00
19.00,8.00,27.00,54.00,18.00,0.00,8.00,3.00,6.00,1.00,0.00,1.00,0.00,0.00
20.00,8.00,27.00,54.00,19.00,0.00,8.00,4.00,6.00,1.98,0.00,1.00,0.00,0.00
21.00,0.00,27.00,48.00,20.00,0.00,0.00,4.00,0.00,1.00,0.00,1.00,0.00,0.00
22.00,0.00,21.00,42.00,20.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00
23.00,0.00,16.00,36.00,20.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
24.00,0.00,11.00,30.00,20.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00
25.00,0.00,7.00,25.00,20.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
26.00,0.00,4.00,19.98,19.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
27.00,0.00,2.00,15.00,18.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.00,0.00,0.98,11.00,18.00,0.98,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
29.00,0.00,0.00,8.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,0.00,5.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.00,0.00,0.00,4.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.00,0.00,0.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.00,0.00,0.00,1.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
